"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.999583336E-4,-3.757785645E0,5.683081970E0,5.801635437E0
1.064595833E-2,-3.701652374E0,5.696104889E0,5.692662048E0
2.069295833E-2,-3.615431671E0,5.534141693E0,5.935457153E0
3.073895834E-2,-3.333567810E0,5.140160980E0,6.835984497E0
4.078595834E-2,-3.026256866E0,4.775519257E0,7.777825928E0
5.083295834E-2,-2.991379395E0,4.601131897E0,8.336464233E0
6.087895833E-2,-3.062631226E0,4.552632751E0,8.439450073E0
7.092595833E-2,-3.132685547E0,4.484075317E0,8.289611664E0
8.097195833E-2,-3.310515747E0,4.361180878E0,8.012088776E0
9.101895833E-2,-3.426225128E0,4.238436127E0,7.688162384E0
1.010649583E-1,-3.462000732E0,4.183799744E0,7.450606384E0
1.111119583E-1,-3.472478943E0,4.141288147E0,7.498506775E0
1.211589583E-1,-3.391647034E0,4.302652588E0,7.634274445E0
1.312049583E-1,-3.264860687E0,4.663851471E0,7.939040680E0
1.412519583E-1,-3.019969940E0,4.856949921E0,8.244854736E0
1.512979583E-1,-2.642454987E0,4.605472870E0,8.385711823E0
1.613449583E-1,-2.432142334E0,4.294719086E0,8.435707855E0
1.713909583E-1,-2.328258362E0,4.116888885E0,8.387508087E0
1.814379583E-1,-2.355651398E0,3.902684326E0,8.221802673E0
1.914839583E-1,-2.543211365E0,3.869004364E0,8.222401428E0
2.015309583E-1,-2.895578613E0,3.934568024E0,8.515641632E0
2.115779583E-1,-3.163820801E0,4.016298065E0,8.935069427E0
2.216239583E-1,-3.209924927E0,4.183200989E0,9.407487030E0
2.316709583E-1,-3.034938812E0,4.454287262E0,9.889035645E0
2.417169583E-1,-2.764151917E0,4.687053223E0,1.018212616E1
2.517639583E-1,-2.426154785E0,4.607568512E0,1.016685791E1
2.618099583E-1,-2.042951660E0,4.067192230E0,9.746681671E0
2.718569583E-1,-1.742825775E0,3.524869995E0,9.129066010E0
2.819039583E-1,-1.666334839E0,3.429218903E0,8.563841400E0
2.919499583E-1,-1.843117218E0,3.622616730E0,8.178392944E0
3.019969583E-1,-2.180964661E0,3.811374207E0,7.865094452E0
3.120429583E-1,-2.461631012E0,3.916904755E0,7.648195496E0
3.220899583E-1,-2.671045532E0,4.082909546E0,7.456893311E0
3.321359583E-1,-2.700833588E0,4.252506866E0,7.444319458E0
3.421829583E-1,-2.269430695E0,4.220473480E0,7.848329315E0
3.522299583E-1,-2.057471466E0,4.015399933E0,8.452173615E0
3.622759583E-1,-2.093247070E0,3.458108826E0,8.975036316E0
3.723229583E-1,-2.188149719E0,2.800077209E0,9.351653137E0
3.823689583E-1,-2.146685944E0,2.392025757E0,9.562863922E0
3.924159583E-1,-1.830094299E0,1.855242004E0,9.735005951E0
4.024619583E-1,-1.702858887E0,1.265318756E0,1.017823425E1
4.125089583E-1,-2.044298859E0,1.234333191E0,1.058404037E1
4.225559583E-1,-1.788780212E0,1.011596375E0,1.035127441E1
4.326019583E-1,-1.829196167E0,6.616241455E-1,9.999356232E0
4.426489583E-1,-2.004182281E0,5.037025452E-1,1.002375549E1
4.526949583E-1,-1.893113251E0,5.198689270E-1,1.017284546E1
4.627419583E-1,-1.581760712E0,3.296145630E-1,1.025577301E1
4.727879583E-1,-1.395098877E0,3.607498169E-2,1.033361115E1
4.828349583E-1,-1.535656586E0,2.245330811E-2,1.086889801E1
4.928819583E-1,-1.821562042E0,2.154020691E-1,1.144175674E1
5.029279583E-1,-2.093995514E0,1.621128845E-1,1.148696274E1
5.129749583E-1,-2.331551514E0,-1.350192261E-1,1.141032211E1
5.230209583E-1,-2.607577515E0,-5.273533630E-1,1.147139511E1
5.330679583E-1,-2.762954407E0,-1.084195404E0,1.155237671E1
5.431139583E-1,-2.710263977E0,-1.574875031E0,1.147034729E1
5.531609583E-1,-2.424807587E0,-1.806892548E0,1.115989288E1
5.632079583E-1,-1.934726715E0,-1.971849518E0,1.055859329E1
5.732539583E-1,-1.464853821E0,-1.917811890E0,9.972112885E0
5.833009583E-1,-1.164428558E0,-1.614991608E0,9.745633850E0
5.933469583E-1,-1.071172485E0,-1.035696259E0,1.025697052E1
6.033939583E-1,-1.073268127E0,-3.713777161E-1,1.120854172E1
6.134399583E-1,-1.151106262E0,-1.390608215E-1,1.166075134E1
6.234869583E-1,-1.220711517E0,-5.508544922E-1,1.116468292E1
6.335339583E-1,-1.087488556E0,-1.100810852E0,1.043225601E1
6.435799583E-1,-9.952803040E-1,-1.466500397E0,9.565708008E0
6.536269583E-1,-1.171613617E0,-1.752106476E0,8.951235809E0
6.636729583E-1,-1.479822693E0,-1.622326355E0,8.445886688E0
6.737199583E-1,-1.937570801E0,-9.613009644E-1,8.206534424E0
6.837659583E-1,-2.542911987E0,-3.866459656E-1,7.633975067E0
6.938129583E-1,-3.097957764E0,-5.149291992E-2,7.029232635E0
7.038599583E-1,-3.431913300E0,3.062631226E-1,7.394323425E0
7.139059583E-1,-3.520379333E0,6.497987366E-1,8.343050537E0
7.239529583E-1,-3.214714966E0,9.120533752E-1,9.245074768E0
7.339989583E-1,-2.706072693E0,1.336570587E0,9.804611206E0
7.440459583E-1,-2.104623413E0,3.208577728E0,1.005788452E1
7.540915833E-1,-1.457968140E0,5.376669159E0,7.369924164E0
7.641385833E-1,-1.388213196E0,4.367168427E0,7.673642578E0
7.741855833E-1,-1.378034363E0,2.497855682E0,9.901010742E0
7.842315833E-1,-1.521286469E0,1.766027527E0,9.973759460E0
7.942785833E-1,-1.528321838E0,1.546733551E0,8.378526764E0
8.043245833E-1,-1.403930511E0,1.514700165E0,6.877148895E0
8.143715833E-1,-1.172511749E0,1.909429321E0,6.602769470E0
8.244175833E-1,-8.391549683E-1,2.723586273E0,6.980434113E0
8.344645833E-1,-8.511300659E-1,3.723955994E0,6.794221344E0
8.445115833E-1,-9.681866455E-1,4.193978577E0,7.361840973E0
8.545575833E-1,-8.752299500E-1,4.034260712E0,9.152267761E0
8.646045833E-1,-8.604107666E-1,3.945944366E0,1.104762634E1
8.746505833E-1,-1.091380463E0,3.983665924E0,1.154564072E1
8.846975833E-1,-1.413061523E0,3.797602844E0,1.064002396E1
8.947435833E-1,-1.285676422E0,3.229234772E0,9.319020996E0
