"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.153966904E-3,6.499919378E1,2.546766939E1,1.199226590E1,NaN,NaN,1.560372503E1,3.000000000E1
4.660964012E-3,6.499919453E1,2.546766773E1,1.199226590E1,NaN,NaN,1.648248952E1,3.000000000E1
2.273106575E-2,6.499919411E1,2.546766725E1,1.199226590E1,NaN,NaN,1.648171746E1,3.000004145E1
5.347431064E0,6.499919626E1,2.546766281E1,1.199226590E1,NaN,NaN,1.486793876E1,3.000000000E1
6.011667967E0,6.499919677E1,2.546766175E1,7.772585870E0,NaN,NaN,1.837062247E1,3.000000000E1
1.134696305E1,6.499920009E1,2.546765487E1,1.199226590E1,NaN,NaN,1.675356832E1,3.000000000E1
1.201920497E1,6.499920019E1,2.546765466E1,7.772585870E0,NaN,NaN,1.698604138E1,3.000000000E1
1.330256104E1,6.499925680E1,2.546760637E1,6.286131260E0,NaN,NaN,1.737778592E1,3.000000000E1
1.360784304E1,6.499925684E1,2.546760634E1,6.286131260E0,NaN,NaN,1.740160825E1,3.000000000E1
1.835036004E1,6.499926664E1,2.546759652E1,8.028963036E0,NaN,NaN,1.657311102E1,3.000000000E1
1.961775005E1,6.499926835E1,2.546759508E1,6.286131260E0,NaN,NaN,1.631602238E1,3.000000000E1
2.534987402E1,6.499927453E1,2.546758912E1,7.542651879E0,NaN,NaN,1.609781200E1,3.000000000E1
2.562927008E1,6.499927456E1,2.546758909E1,7.542651879E0,NaN,NaN,1.614686516E1,3.000000000E1
3.035506403E1,6.499927790E1,2.546758595E1,7.542651879E0,NaN,NaN,1.327634366E1,3.000000000E1
3.163683307E1,6.499928249E1,2.546758190E1,7.542651879E0,NaN,NaN,1.920592681E1,3.000000000E1
3.735219097E1,6.499928320E1,2.546758141E1,7.542651879E0,NaN,NaN,1.651837788E1,3.000000000E1
3.764301097E1,6.499928333E1,2.546758133E1,7.542651879E0,NaN,NaN,1.884311880E1,3.000000000E1
3.933732474E1,6.499926882E1,2.546759253E1,7.775369794E0,NaN,NaN,1.469144382E1,1.025609894E2
4.033731878E1,6.499926854E1,2.546759087E1,4.699032279E0,NaN,NaN,1.414049743E1,3.000000000E0
4.133731270E1,6.499926759E1,2.546758934E1,1.390986775E1,NaN,NaN,1.385674642E1,3.000000000E0
4.233730638E1,6.499928331E1,2.546757008E1,7.765523037E1,NaN,NaN,1.338924460E1,3.000000000E0
4.333730042E1,6.499929481E1,2.546755493E1,8.842655509E1,NaN,NaN,1.275997883E1,3.000000000E0
4.433729458E1,6.499929001E1,2.546756435E1,7.219219747E1,NaN,NaN,1.269727469E1,3.000000000E0
4.501060832E1,6.499930151E1,2.546756186E1,8.918870242E1,NaN,NaN,1.287633229E1,3.000000000E0
4.601061130E1,6.499930824E1,2.546757335E1,7.121920733E1,NaN,NaN,1.282260689E1,3.000000000E0
4.701060534E1,6.499931174E1,2.546757331E1,7.480014304E1,NaN,NaN,1.279659512E1,3.000000000E0
4.801141870E1,6.499933639E1,2.546757245E1,7.636330823E1,NaN,NaN,1.212200094E1,3.000000000E0
4.901265860E1,6.499935836E1,2.546756931E1,7.636330823E1,NaN,NaN,1.156514377E1,3.000000000E0
5.001389074E1,6.499938580E1,2.546755692E1,7.636330823E1,NaN,NaN,1.111303737E1,3.000000000E0
5.101500404E1,6.499940102E1,2.546754904E1,9.971042480E1,NaN,NaN,1.070422743E1,3.000000000E0
5.201605153E1,6.499941136E1,2.546754436E1,9.972574438E1,NaN,NaN,1.096476044E1,3.000000000E0
5.301701188E1,6.499942353E1,2.546754998E1,1.249144456E2,NaN,NaN,1.231669598E1,3.000000000E0
5.401792121E1,6.499964700E1,2.546724941E1,1.519213668E2,NaN,NaN,3.781752110E1,3.000000000E0
5.501877332E1,6.499963458E1,2.546729191E1,1.520361985E2,NaN,NaN,3.678144414E1,3.000000000E0
5.601955414E1,6.499947155E1,2.546747462E1,7.680128482E1,7.195967197E0,0.000000000E0,1.684234784E1,7.079058075E1
5.702029204E1,6.499953670E1,2.546747395E1,7.680083118E1,7.195967197E0,2.125661837E-16,1.698646858E1,7.079058075E1
5.802103114E1,6.499960295E1,2.546746741E1,1.685817403E2,7.820899010E0,3.231896251E0,1.701543397E1,4.634343338E1
